Matrix Size,Strassen w/o Crossover,Standard
2,0.00010013580322265625,5.0067901611328125e-06
4,0.00017309188842773438,1.9788742065429688e-05
8,0.001096963882446289,0.00014591217041015625
16,0.0075261592864990234,0.001026153564453125
32,0.049796104431152344,0.007696866989135742
64,0.34260988235473633,0.06171417236328125
128,2.4207088947296143,0.4906489849090576
256,16.887032747268677,3.908843994140625
512,118.27587795257568,32.39560914039612
1024,849.6839230060577,261.2715232372284
