Algorithm,Matrix Size,Execution Time
Strassen w/Crossover n_0=65,512,21.390108823776245
Winograd w/Crossover n_0=65,512,21.375487089157104
Strassen w/Crossover n_0=66,512,21.386631727218628
Winograd w/Crossover n_0=66,512,21.445022106170654
Strassen w/Crossover n_0=67,512,21.373200178146362
Winograd w/Crossover n_0=67,512,21.364511013031006
Strassen w/Crossover n_0=68,512,21.44867992401123
Winograd w/Crossover n_0=68,512,21.35926079750061
Strassen w/Crossover n_0=69,512,21.350872039794922
Winograd w/Crossover n_0=69,512,21.390877962112427
Strassen w/Crossover n_0=70,512,21.36865496635437
Winograd w/Crossover n_0=70,512,21.40979504585266
Strassen w/Crossover n_0=71,512,21.31979489326477
Winograd w/Crossover n_0=71,512,21.38008713722229
Strassen w/Crossover n_0=72,512,21.42610812187195
Winograd w/Crossover n_0=72,512,21.42261576652527
Strassen w/Crossover n_0=73,512,21.396045923233032
Winograd w/Crossover n_0=73,512,21.390949726104736
Strassen w/Crossover n_0=74,512,21.377259969711304
Winograd w/Crossover n_0=74,512,21.332183122634888
Strassen w/Crossover n_0=75,512,21.42382788658142
Winograd w/Crossover n_0=75,512,21.39649987220764
Strassen w/Crossover n_0=76,512,21.40147304534912
Winograd w/Crossover n_0=76,512,21.566035270690918
Strassen w/Crossover n_0=77,512,21.448131799697876
Winograd w/Crossover n_0=77,512,21.421361923217773
Strassen w/Crossover n_0=78,512,21.508670330047607
Winograd w/Crossover n_0=78,512,21.459212064743042
Strassen w/Crossover n_0=79,512,21.45507311820984
Winograd w/Crossover n_0=79,512,21.47122311592102
Strassen w/Crossover n_0=80,512,21.3871808052063
Winograd w/Crossover n_0=80,512,21.497738122940063
Strassen w/Crossover n_0=81,512,21.342655897140503
Winograd w/Crossover n_0=81,512,21.318772077560425
Strassen w/Crossover n_0=82,512,21.457168102264404
Winograd w/Crossover n_0=82,512,21.44121789932251
Strassen w/Crossover n_0=83,512,21.432420015335083
Winograd w/Crossover n_0=83,512,21.368685007095337
Strassen w/Crossover n_0=84,512,21.510061979293823
Winograd w/Crossover n_0=84,512,21.442332983016968
Strassen w/Crossover n_0=85,512,21.40816593170166
Winograd w/Crossover n_0=85,512,21.45513391494751
Strassen w/Crossover n_0=86,512,21.496825218200684
Winograd w/Crossover n_0=86,512,21.361175060272217
Strassen w/Crossover n_0=87,512,21.454789876937866
Winograd w/Crossover n_0=87,512,21.463274002075195
Strassen w/Crossover n_0=88,512,21.508837938308716
Winograd w/Crossover n_0=88,512,21.3710458278656
Strassen w/Crossover n_0=89,512,21.47400403022766
Winograd w/Crossover n_0=89,512,21.423162937164307
Strassen w/Crossover n_0=90,512,21.407538890838623
Winograd w/Crossover n_0=90,512,21.38449192047119
Strassen w/Crossover n_0=91,512,21.462793827056885
Winograd w/Crossover n_0=91,512,21.547576665878296
Strassen w/Crossover n_0=92,512,21.426210165023804
Winograd w/Crossover n_0=92,512,21.38734197616577
Strassen w/Crossover n_0=93,512,21.555022954940796
Winograd w/Crossover n_0=93,512,21.4975323677063
Strassen w/Crossover n_0=94,512,21.507550954818726
Winograd w/Crossover n_0=94,512,21.388670921325684
Strassen w/Crossover n_0=95,512,21.412172079086304
Winograd w/Crossover n_0=95,512,21.336836099624634
Strassen w/Crossover n_0=96,512,21.505141973495483
Winograd w/Crossover n_0=96,512,21.44378685951233
Strassen w/Crossover n_0=97,512,21.475139141082764
Winograd w/Crossover n_0=97,512,21.418197870254517
Strassen w/Crossover n_0=98,512,21.432634115219116
Winograd w/Crossover n_0=98,512,21.390737056732178
Strassen w/Crossover n_0=99,512,21.446912050247192
Winograd w/Crossover n_0=99,512,21.463231086730957
Strassen w/Crossover n_0=100,512,21.4994900226593
Winograd w/Crossover n_0=100,512,21.429170846939087
Strassen w/Crossover n_0=101,512,21.48015785217285
Winograd w/Crossover n_0=101,512,21.471131801605225
Strassen w/Crossover n_0=102,512,21.456951141357422
Winograd w/Crossover n_0=102,512,21.412729024887085
Strassen w/Crossover n_0=103,512,21.490886211395264
Winograd w/Crossover n_0=103,512,21.4758358001709
Strassen w/Crossover n_0=104,512,21.440988063812256
Winograd w/Crossover n_0=104,512,21.405518293380737
Strassen w/Crossover n_0=105,512,21.432627201080322
Winograd w/Crossover n_0=105,512,21.475666046142578
Strassen w/Crossover n_0=106,512,21.40431523323059
Winograd w/Crossover n_0=106,512,21.451311111450195
Strassen w/Crossover n_0=107,512,21.496958017349243
Winograd w/Crossover n_0=107,512,21.40211296081543
Strassen w/Crossover n_0=108,512,21.459142923355103
Winograd w/Crossover n_0=108,512,21.50943684577942
Strassen w/Crossover n_0=109,512,21.481667041778564
Winograd w/Crossover n_0=109,512,21.489982843399048
Strassen w/Crossover n_0=110,512,21.566579818725586
Winograd w/Crossover n_0=110,512,21.423392057418823
Strassen w/Crossover n_0=111,512,21.299471855163574
Winograd w/Crossover n_0=111,512,21.314161777496338
Strassen w/Crossover n_0=112,512,21.303635835647583
Winograd w/Crossover n_0=112,512,21.30401110649109
Strassen w/Crossover n_0=113,512,21.290796995162964
Winograd w/Crossover n_0=113,512,21.304338932037354
Strassen w/Crossover n_0=114,512,21.425451040267944
Winograd w/Crossover n_0=114,512,21.304407119750977
Strassen w/Crossover n_0=115,512,21.30336308479309
Winograd w/Crossover n_0=115,512,21.330902099609375
Strassen w/Crossover n_0=116,512,21.311764001846313
Winograd w/Crossover n_0=116,512,21.44543194770813
Strassen w/Crossover n_0=117,512,21.510998010635376
Winograd w/Crossover n_0=117,512,21.482911825180054
Strassen w/Crossover n_0=118,512,21.398421049118042
Winograd w/Crossover n_0=118,512,21.43670392036438
Strassen w/Crossover n_0=119,512,21.468772649765015
Winograd w/Crossover n_0=119,512,21.482500076293945
Strassen w/Crossover n_0=120,512,21.37029194831848
Winograd w/Crossover n_0=120,512,21.711416959762573
Strassen w/Crossover n_0=121,512,21.233094930648804
Winograd w/Crossover n_0=121,512,21.70284104347229
Strassen w/Crossover n_0=122,512,21.40095615386963
Winograd w/Crossover n_0=122,512,21.50009298324585
Strassen w/Crossover n_0=123,512,21.410969972610474
Winograd w/Crossover n_0=123,512,21.39746594429016
Strassen w/Crossover n_0=124,512,21.442283868789673
Winograd w/Crossover n_0=124,512,21.492794275283813
Strassen w/Crossover n_0=125,512,21.517250061035156
Winograd w/Crossover n_0=125,512,21.484858751296997
Strassen w/Crossover n_0=126,512,21.41273021697998
Winograd w/Crossover n_0=126,512,21.406752109527588
Strassen w/Crossover n_0=127,512,21.417776823043823
Winograd w/Crossover n_0=127,512,21.380554914474487
Strassen w/Crossover n_0=128,512,24.429420232772827
Winograd w/Crossover n_0=128,512,24.429609298706055
Strassen w/Crossover n_0=129,512,24.399160861968994
Winograd w/Crossover n_0=129,512,24.397454977035522
Standard,513,32.341264963150024
Strassen w/o Crossover,513,975.2823338508606
Winograd w/o Crossover,513,1012.464515209198
Strassen w/Crossover n_0=5,513,33.01351594924927
Winograd w/Crossover n_0=5,513,33.43953514099121
Strassen w/Crossover n_0=6,513,33.103842973709106
Winograd w/Crossover n_0=6,513,33.375224113464355
Strassen w/Crossover n_0=7,513,32.97384333610535
Winograd w/Crossover n_0=7,513,33.4039990901947
Strassen w/Crossover n_0=8,513,33.13358998298645
Winograd w/Crossover n_0=8,513,33.46011805534363
Strassen w/Crossover n_0=9,513,22.466418266296387
Winograd w/Crossover n_0=9,513,22.493751049041748
Strassen w/Crossover n_0=10,513,22.420844793319702
Winograd w/Crossover n_0=10,513,22.553276777267456
Strassen w/Crossover n_0=11,513,22.44129204750061
Winograd w/Crossover n_0=11,513,22.452029943466187
Strassen w/Crossover n_0=12,513,22.45217990875244
Winograd w/Crossover n_0=12,513,22.584133863449097
Strassen w/Crossover n_0=13,513,22.468788146972656
Winograd w/Crossover n_0=13,513,22.469372034072876
Strassen w/Crossover n_0=14,513,22.414741039276123
Winograd w/Crossover n_0=14,513,22.385709762573242
Strassen w/Crossover n_0=15,513,22.400033712387085
Winograd w/Crossover n_0=15,513,22.45596718788147
Strassen w/Crossover n_0=16,513,22.511913061141968
Winograd w/Crossover n_0=16,513,22.450146913528442
Strassen w/Crossover n_0=17,513,20.177536964416504
Winograd w/Crossover n_0=17,513,20.25282311439514
Strassen w/Crossover n_0=18,513,20.228827953338623
Winograd w/Crossover n_0=18,513,20.27662205696106
Strassen w/Crossover n_0=19,513,20.290313005447388
Winograd w/Crossover n_0=19,513,20.210317134857178
Strassen w/Crossover n_0=20,513,20.23080801963806
Winograd w/Crossover n_0=20,513,20.275159120559692
Strassen w/Crossover n_0=21,513,20.1561758518219
Winograd w/Crossover n_0=21,513,20.209364891052246
Strassen w/Crossover n_0=22,513,20.21008586883545
Winograd w/Crossover n_0=22,513,20.255170106887817
Strassen w/Crossover n_0=23,513,20.244304895401
Winograd w/Crossover n_0=23,513,20.26118779182434
Strassen w/Crossover n_0=24,513,20.182494163513184
Winograd w/Crossover n_0=24,513,20.327774047851562
Strassen w/Crossover n_0=25,513,20.311455965042114
Winograd w/Crossover n_0=25,513,20.230087757110596
Strassen w/Crossover n_0=26,513,20.210851669311523
Winograd w/Crossover n_0=26,513,20.22288990020752
Strassen w/Crossover n_0=27,513,20.21568012237549
Winograd w/Crossover n_0=27,513,20.25466299057007
Strassen w/Crossover n_0=28,513,20.300363779067993
Winograd w/Crossover n_0=28,513,20.287885904312134
Strassen w/Crossover n_0=29,513,20.211307048797607
Winograd w/Crossover n_0=29,513,20.190929889678955
Strassen w/Crossover n_0=30,513,20.220129013061523
Winograd w/Crossover n_0=30,513,20.181522846221924
Strassen w/Crossover n_0=31,513,20.28494429588318
Winograd w/Crossover n_0=31,513,20.281270027160645
Strassen w/Crossover n_0=32,513,20.23902201652527
Winograd w/Crossover n_0=32,513,20.29654312133789
Strassen w/Crossover n_0=33,513,20.714568853378296
Winograd w/Crossover n_0=33,513,20.660511016845703
Strassen w/Crossover n_0=34,513,20.730897903442383
Winograd w/Crossover n_0=34,513,20.773273944854736
Strassen w/Crossover n_0=35,513,20.712051153182983
Winograd w/Crossover n_0=35,513,20.758409023284912
Strassen w/Crossover n_0=36,513,20.724841117858887
Winograd w/Crossover n_0=36,513,20.697136163711548
Strassen w/Crossover n_0=37,513,20.738840103149414
Winograd w/Crossover n_0=37,513,20.72754406929016
Strassen w/Crossover n_0=38,513,20.760007858276367
Winograd w/Crossover n_0=38,513,20.749004125595093
Strassen w/Crossover n_0=39,513,20.688114881515503
Winograd w/Crossover n_0=39,513,20.73655605316162
Strassen w/Crossover n_0=40,513,20.709540843963623
Winograd w/Crossover n_0=40,513,20.81626796722412
Strassen w/Crossover n_0=41,513,20.830034971237183
Winograd w/Crossover n_0=41,513,20.720443725585938
Strassen w/Crossover n_0=42,513,20.705847024917603
Winograd w/Crossover n_0=42,513,20.745743989944458
Strassen w/Crossover n_0=43,513,20.669152975082397
Winograd w/Crossover n_0=43,513,20.701280117034912
Strassen w/Crossover n_0=44,513,20.732067108154297
Winograd w/Crossover n_0=44,513,20.807512044906616
Strassen w/Crossover n_0=45,513,20.809715747833252
Winograd w/Crossover n_0=45,513,20.750967025756836
Strassen w/Crossover n_0=46,513,20.685380697250366
Winograd w/Crossover n_0=46,513,20.728328943252563
Strassen w/Crossover n_0=47,513,20.77591609954834
Winograd w/Crossover n_0=47,513,20.75355815887451
Strassen w/Crossover n_0=48,513,20.73987579345703
Winograd w/Crossover n_0=48,513,20.779006958007812
Strassen w/Crossover n_0=49,513,20.781145811080933
Winograd w/Crossover n_0=49,513,20.670332193374634
Strassen w/Crossover n_0=50,513,20.728157997131348
Winograd w/Crossover n_0=50,513,20.687978982925415
Strassen w/Crossover n_0=51,513,20.72117781639099
Winograd w/Crossover n_0=51,513,20.721513271331787
Strassen w/Crossover n_0=52,513,20.719953060150146
Winograd w/Crossover n_0=52,513,20.752583026885986
Strassen w/Crossover n_0=53,513,20.817678928375244
Winograd w/Crossover n_0=53,513,20.73639678955078
Strassen w/Crossover n_0=54,513,20.71836805343628
Winograd w/Crossover n_0=54,513,20.776248931884766
Strassen w/Crossover n_0=55,513,20.751760721206665
Winograd w/Crossover n_0=55,513,20.7470760345459
Strassen w/Crossover n_0=56,513,20.683237075805664
Winograd w/Crossover n_0=56,513,20.796648025512695
Strassen w/Crossover n_0=57,513,20.764945030212402
Winograd w/Crossover n_0=57,513,20.71959614753723
Strassen w/Crossover n_0=58,513,20.708478927612305
Winograd w/Crossover n_0=58,513,20.72385287284851
Strassen w/Crossover n_0=59,513,20.715396881103516
Winograd w/Crossover n_0=59,513,20.748217821121216
Strassen w/Crossover n_0=60,513,20.747995138168335
Winograd w/Crossover n_0=60,513,20.78822684288025
Strassen w/Crossover n_0=61,513,20.758430004119873
Winograd w/Crossover n_0=61,513,20.70779013633728
Strassen w/Crossover n_0=62,513,20.624688863754272
Winograd w/Crossover n_0=62,513,20.765645027160645
Strassen w/Crossover n_0=63,513,20.752451181411743
Winograd w/Crossover n_0=63,513,20.836894989013672
Strassen w/Crossover n_0=64,513,20.741345167160034
Winograd w/Crossover n_0=64,513,20.74794316291809
Strassen w/Crossover n_0=65,513,22.503997325897217
Winograd w/Crossover n_0=65,513,22.46282410621643
Strassen w/Crossover n_0=66,513,22.419283866882324
Winograd w/Crossover n_0=66,513,22.443050146102905
Strassen w/Crossover n_0=67,513,22.45852494239807
Winograd w/Crossover n_0=67,513,22.431907176971436
Strassen w/Crossover n_0=68,513,22.430151224136353
Winograd w/Crossover n_0=68,513,22.519381046295166
Strassen w/Crossover n_0=69,513,22.52451181411743
Winograd w/Crossover n_0=69,513,22.465924978256226
Strassen w/Crossover n_0=70,513,22.49018096923828
Winograd w/Crossover n_0=70,513,22.489843130111694
Strassen w/Crossover n_0=71,513,22.43826985359192
Winograd w/Crossover n_0=71,513,22.47699999809265
Strassen w/Crossover n_0=72,513,22.50915002822876
Winograd w/Crossover n_0=72,513,22.506770849227905
Strassen w/Crossover n_0=73,513,22.386278867721558
Winograd w/Crossover n_0=73,513,22.409038066864014
Strassen w/Crossover n_0=74,513,22.470841884613037
Winograd w/Crossover n_0=74,513,22.51254105567932
Strassen w/Crossover n_0=75,513,22.49186110496521
Winograd w/Crossover n_0=75,513,22.53847908973694
Strassen w/Crossover n_0=76,513,22.484957933425903
Winograd w/Crossover n_0=76,513,22.39745807647705
Strassen w/Crossover n_0=77,513,22.453083753585815
Winograd w/Crossover n_0=77,513,22.522618055343628
Strassen w/Crossover n_0=78,513,22.495732069015503
Winograd w/Crossover n_0=78,513,22.45702600479126
Strassen w/Crossover n_0=79,513,22.426510095596313
Winograd w/Crossover n_0=79,513,22.440156936645508
Strassen w/Crossover n_0=80,513,22.52479577064514
Winograd w/Crossover n_0=80,513,22.52169132232666
Strassen w/Crossover n_0=81,513,22.476533889770508
Winograd w/Crossover n_0=81,513,22.4652259349823
Strassen w/Crossover n_0=82,513,22.41455841064453
Winograd w/Crossover n_0=82,513,22.42767310142517
Strassen w/Crossover n_0=83,513,22.47453999519348
Winograd w/Crossover n_0=83,513,22.488334894180298
Strassen w/Crossover n_0=84,513,22.472169876098633
Winograd w/Crossover n_0=84,513,22.46053910255432
Strassen w/Crossover n_0=85,513,22.44554877281189
Winograd w/Crossover n_0=85,513,22.52292799949646
Strassen w/Crossover n_0=86,513,22.46587109565735
Winograd w/Crossover n_0=86,513,22.45906400680542
Strassen w/Crossover n_0=87,513,22.497057914733887
Winograd w/Crossover n_0=87,513,22.47883892059326
Strassen w/Crossover n_0=88,513,22.376044034957886
Winograd w/Crossover n_0=88,513,22.516235828399658
Strassen w/Crossover n_0=89,513,22.48988699913025
Winograd w/Crossover n_0=89,513,22.52327799797058
Strassen w/Crossover n_0=90,513,22.485478162765503
Winograd w/Crossover n_0=90,513,22.524184703826904
Strassen w/Crossover n_0=91,513,22.45781707763672
Winograd w/Crossover n_0=91,513,22.44866180419922
Strassen w/Crossover n_0=92,513,22.45278286933899
Winograd w/Crossover n_0=92,513,22.4967679977417
Strassen w/Crossover n_0=93,513,22.49459195137024
Winograd w/Crossover n_0=93,513,22.476819038391113
Strassen w/Crossover n_0=94,513,22.45494818687439
Winograd w/Crossover n_0=94,513,22.558277130126953
Strassen w/Crossover n_0=95,513,22.51136612892151
Winograd w/Crossover n_0=95,513,22.470752000808716
Strassen w/Crossover n_0=96,513,22.477958917617798
Winograd w/Crossover n_0=96,513,22.432893991470337
Strassen w/Crossover n_0=97,513,22.469158172607422
Winograd w/Crossover n_0=97,513,22.495063066482544
Strassen w/Crossover n_0=98,513,22.524914026260376
Winograd w/Crossover n_0=98,513,22.50458598136902
Strassen w/Crossover n_0=99,513,22.46353793144226
Winograd w/Crossover n_0=99,513,22.43382501602173
Strassen w/Crossover n_0=100,513,22.494821786880493
Winograd w/Crossover n_0=100,513,22.52447485923767
Strassen w/Crossover n_0=101,513,22.512310028076172
Winograd w/Crossover n_0=101,513,22.60112476348877
Strassen w/Crossover n_0=102,513,22.46487808227539
Winograd w/Crossover n_0=102,513,22.437921047210693
Strassen w/Crossover n_0=103,513,22.45025897026062
Winograd w/Crossover n_0=103,513,22.548437118530273
Strassen w/Crossover n_0=104,513,22.50790500640869
Winograd w/Crossover n_0=104,513,22.48327612876892
Strassen w/Crossover n_0=105,513,22.39280891418457
Winograd w/Crossover n_0=105,513,22.450397729873657
Strassen w/Crossover n_0=106,513,22.538908004760742
Winograd w/Crossover n_0=106,513,22.45083498954773
Strassen w/Crossover n_0=107,513,22.508352041244507
Winograd w/Crossover n_0=107,513,22.44887614250183
Strassen w/Crossover n_0=108,513,22.36962604522705
Winograd w/Crossover n_0=108,513,22.486167192459106
Strassen w/Crossover n_0=109,513,22.5240740776062
Winograd w/Crossover n_0=109,513,22.5429368019104
Strassen w/Crossover n_0=110,513,22.485132694244385
Winograd w/Crossover n_0=110,513,22.515875101089478
Strassen w/Crossover n_0=111,513,22.42611598968506
Winograd w/Crossover n_0=111,513,22.483628034591675
Strassen w/Crossover n_0=112,513,22.4510018825531
Winograd w/Crossover n_0=112,513,22.470651865005493
Strassen w/Crossover n_0=113,513,22.50787591934204
Winograd w/Crossover n_0=113,513,22.5784809589386
Strassen w/Crossover n_0=114,513,22.384888648986816
Winograd w/Crossover n_0=114,513,22.431348085403442
Strassen w/Crossover n_0=115,513,22.517691135406494
Winograd w/Crossover n_0=115,513,22.494307279586792
Strassen w/Crossover n_0=116,513,22.432026863098145
Winograd w/Crossover n_0=116,513,22.456644773483276
Strassen w/Crossover n_0=117,513,22.479252099990845
Winograd w/Crossover n_0=117,513,22.51610016822815
Strassen w/Crossover n_0=118,513,22.456499814987183
Winograd w/Crossover n_0=118,513,22.42122197151184
Strassen w/Crossover n_0=119,513,22.461384057998657
Winograd w/Crossover n_0=119,513,22.413106203079224
Strassen w/Crossover n_0=120,513,22.460800886154175
Winograd w/Crossover n_0=120,513,22.53400707244873
Strassen w/Crossover n_0=121,513,22.487769842147827
Winograd w/Crossover n_0=121,513,22.464749097824097
Strassen w/Crossover n_0=122,513,22.473878145217896
Winograd w/Crossover n_0=122,513,22.436581134796143
Strassen w/Crossover n_0=123,513,22.477380752563477
Winograd w/Crossover n_0=123,513,22.503039121627808
Strassen w/Crossover n_0=124,513,22.544995069503784
Winograd w/Crossover n_0=124,513,22.5453839302063
Strassen w/Crossover n_0=125,513,22.418070077896118
Winograd w/Crossover n_0=125,513,22.423702001571655
Strassen w/Crossover n_0=126,513,22.45934295654297
Winograd w/Crossover n_0=126,513,22.48600125312805
Strassen w/Crossover n_0=127,513,22.44222068786621
Winograd w/Crossover n_0=127,513,22.484240770339966
Strassen w/Crossover n_0=128,513,22.446224689483643
Winograd w/Crossover n_0=128,513,22.442480087280273
Strassen w/Crossover n_0=129,513,24.926620960235596
Winograd w/Crossover n_0=129,513,25.016709089279175
Strassen w/Crossover n_0=8,512,15.76106595993042
Winograd w/Crossover n_0=12,512,15.779589891433716
Strassen w/Crossover n_0=21,513,20.1561758518219
Winograd w/Crossover n_0=30,513,20.181522846221924
