Matrix Size,Strassen w/Crossover,Standard
1,3.62396240234375e-06,1.621246337890625e-06
2,5.0449371337890624e-05,4.1961669921875e-06
3,0.00011625289916992188,9.012222290039062e-06
4,4.1151046752929686e-05,1.9598007202148438e-05
5,0.00010361671447753907,3.6334991455078126e-05
6,8.029937744140625e-05,5.941390991210937e-05
7,0.00017070770263671875,9.140968322753906e-05
8,0.00015096664428710939,0.00013341903686523438
9,0.0003004550933837891,0.00020184516906738282
10,0.00027217864990234373,0.00025386810302734374
11,0.0004520416259765625,0.00034222602844238283
12,0.0004423618316650391,0.00044083595275878906
13,0.0006669998168945312,0.0005516529083251954
14,0.0006547451019287109,0.0006815433502197265
15,0.0009643077850341797,0.0008168220520019531
16,0.0009480953216552734,0.0009858131408691407
17,0.001321887969970703,0.001183319091796875
18,0.0013016223907470702,0.0013946533203125
19,0.0017821311950683594,0.0016643524169921875
20,0.0017460346221923827,0.001938629150390625
21,0.0023389816284179687,0.002213191986083984
22,0.0023036479949951174,0.002534961700439453
23,0.0030271053314208985,0.0029068470001220705
24,0.002985239028930664,0.003304195404052734
25,0.0037850379943847657,0.0037363529205322265
26,0.0037355899810791017,0.004201412200927734
27,0.004688262939453125,0.004681110382080078
28,0.004723358154296875,0.005245685577392578
29,0.005700826644897461,0.005792665481567383
30,0.0056706428527832035,0.006306982040405274
31,0.006906032562255859,0.006939220428466797
32,0.0068939208984375,0.007706737518310547
33,0.008264875411987305,0.00844731330871582
34,0.008279895782470703,0.009271049499511718
35,0.009820652008056641,0.010131168365478515
36,0.009793710708618165,0.010997152328491211
37,0.01154031753540039,0.011948442459106446
38,0.01149001121520996,0.012868499755859375
39,0.013299989700317382,0.013877964019775391
40,0.01336355209350586,0.015059900283813477
41,0.015521430969238281,0.016250753402709962
42,0.015410470962524413,0.017359161376953126
43,0.017678213119506837,0.018648576736450196
44,0.017932605743408204,0.0201387882232666
45,0.020326566696166993,0.021475553512573242
46,0.020178985595703126,0.022710609436035156
47,0.022805547714233397,0.024277782440185545
48,0.022774982452392577,0.025803327560424805
49,0.02571711540222168,0.027349853515625
50,0.02585444450378418,0.029312276840209962
51,0.029363441467285156,0.03143796920776367
52,0.02940378189086914,0.03315258026123047
53,0.032693910598754886,0.034843730926513675
54,0.032455825805664064,0.03676962852478027
55,0.036423873901367185,0.03900747299194336
56,0.03628063201904297,0.04105706214904785
57,0.04038081169128418,0.0433565616607666
58,0.040402460098266604,0.04594860076904297
59,0.044569873809814455,0.047953462600708006
60,0.04445037841796875,0.050284194946289065
61,0.049237823486328124,0.05343770980834961
62,0.04870872497558594,0.055228900909423825
63,0.0537055492401123,0.05803384780883789
64,0.05338263511657715,0.06064624786376953
65,0.05870237350463867,0.06380329132080079
66,0.060388708114624025,0.06802024841308593
67,0.06519575119018554,0.0698887825012207
68,0.06542835235595704,0.07401251792907715
69,0.07101273536682129,0.07686614990234375
70,0.07104101181030273,0.08023781776428222
71,0.07632584571838379,0.08349900245666504
72,0.07689933776855469,0.08752727508544922
73,0.08348169326782226,0.09077692031860352
74,0.08388347625732422,0.09591169357299804
75,0.09117226600646973,0.0998931884765625
76,0.09021077156066895,0.10270681381225585
77,0.0976555347442627,0.10682330131530762
78,0.10183491706848144,0.11182475090026855
79,0.10559196472167968,0.1148979663848877
80,0.10636982917785645,0.12149090766906738
81,0.11516318321228028,0.12595272064208984
82,0.1132929801940918,0.12862081527709962
83,0.12081298828125,0.1330564022064209
84,0.12348809242248535,0.13824453353881835
85,0.13050169944763185,0.143098783493042
86,0.13032703399658202,0.14774961471557618
87,0.14060072898864745,0.15572233200073243
88,0.14330520629882812,0.1627866268157959
89,0.15260882377624513,0.16867642402648925
90,0.1524580955505371,0.1737661838531494
91,0.1632073402404785,0.1794966220855713
92,0.15851545333862305,0.17948393821716307
93,0.16854248046875,0.18525404930114747
94,0.17340006828308105,0.2562114238739014
95,0.2829953670501709,0.2226339817047119
96,0.18656520843505858,0.21168317794799804
97,0.1955702304840088,0.2157498836517334
98,0.19819107055664062,0.22478108406066893
99,0.21489853858947755,0.2369548797607422
100,0.2097602367401123,0.23862714767456056
